Ref,Val,Package,PosX,PosY,Rot,Side
"SW27","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",167.960000,-71.440000,90.000000,top
"SW28","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",157.460000,-71.440000,90.000000,top
"SW28","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",51.504466,-34.595534,-90.000000,top
"SW29","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",65.504466,-34.595534,-90.000000,top
"SW29","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",143.460000,-71.440000,90.000000,top
"SW30","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",132.960000,-71.440000,90.000000,top
"SW30","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",76.004466,-34.595534,-90.000000,top
"SW31","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",90.004466,-34.595534,-90.000000,top
"SW31","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",118.960000,-71.440000,90.000000,top
"SW32","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",108.460000,-71.440000,90.000000,top
"SW32","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",100.504466,-34.595534,-90.000000,top
"U1","SN74LV1T34DCK","SOT-353_SC-70-5",187.454466,-37.305534,0.000000,top
"U1","SN74LV1T34DCK","SOT-353_SC-70-5",21.510000,-68.730000,180.000000,top
"U2","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",13.460000,-94.440000,90.000000,top
"U2","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",195.504466,-11.595534,-90.000000,top
"U3","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",188.504466,-11.595534,-90.000000,top
"U3","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",20.460000,-94.440000,90.000000,top
"U4","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",27.460000,-94.440000,90.000000,top
"U4","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",181.504466,-11.595534,-90.000000,top
"U5","WS2812E_LED","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",174.504466,-11.595534,-90.000000,top
